Year,Annual_Mean_Absolute,Annual_Median_Absolute,Annual_Std_Absolute
2006,14.53,14.56,0.11
2007,14.56,14.5,0.13
2008,14.44,14.43,0.13
2009,14.55,14.55,0.08
2010,14.62,14.62,0.13
2011,14.5,14.5,0.08
2012,14.54,14.55,0.12
2013,14.57,14.59,0.08
2014,14.64,14.68,0.11
2015,14.8,14.75,0.14
2016,14.91,14.83,0.19
2017,14.81,14.8,0.14
2018,14.75,14.73,0.07
2019,14.88,14.84,0.09
2020,14.91,14.88,0.15
2021,14.74,14.76,0.09
2022,14.79,14.8,0.08
2023,15.07,15.09,0.2
2024,15.18,15.18,0.08
2025,15.1,15.12,0.12
