Year,Annual_Mean_Abs,Annual_Median_Abs,Annual_Std_Abs,Hemisphere
1880,13.58,13.61,0.12,Northern
1880,13.84,13.87,0.10,Southern
1881,13.71,13.69,0.16,Northern
1881,13.89,13.88,0.07,Southern
1882,13.69,13.58,0.25,Northern
1882,13.89,13.90,0.06,Southern
1883,13.58,13.64,0.17,Northern
1883,13.83,13.83,0.03,Southern
1884,13.46,13.44,0.15,Northern
1884,13.74,13.78,0.10,Southern
1885,13.50,13.52,0.24,Northern
1885,13.66,13.68,0.10,Southern
1886,13.48,13.52,0.17,Northern
1886,13.66,13.68,0.06,Southern
1887,13.50,13.52,0.25,Northern
1887,13.60,13.62,0.09,Southern
1888,13.68,13.73,0.23,Northern
1888,13.76,13.72,0.14,Southern
1889,13.74,13.76,0.28,Northern
1889,13.84,13.84,0.10,Southern
1890,13.49,13.48,0.18,Northern
1890,13.56,13.55,0.07,Southern
1891,13.64,13.72,0.23,Northern
1891,13.68,13.66,0.07,Southern
1892,13.52,13.57,0.22,Northern
1892,13.73,13.76,0.10,Southern
1893,13.45,13.61,0.38,Northern
1893,13.70,13.70,0.09,Southern
1894,13.51,13.58,0.20,Northern
1894,13.66,13.66,0.11,Southern
1895,13.62,13.66,0.25,Northern
1895,13.73,13.72,0.07,Southern
1896,13.70,13.70,0.22,Northern
1896,13.87,13.88,0.11,Southern
1897,13.73,13.77,0.16,Northern
1897,13.83,13.78,0.10,Southern
1898,13.61,13.62,0.21,Northern
1898,13.62,13.60,0.08,Southern
1899,13.70,13.70,0.29,Northern
1899,13.74,13.74,0.07,Southern
1900,13.82,13.84,0.20,Northern
1900,13.80,13.80,0.05,Southern
1901,13.80,13.78,0.22,Northern
1901,13.68,13.71,0.07,Southern
1902,13.57,13.56,0.19,Northern
1902,13.64,13.63,0.04,Southern
1903,13.52,13.44,0.22,Northern
1903,13.50,13.50,0.09,Southern
1904,13.41,13.39,0.17,Northern
1904,13.40,13.39,0.10,Southern
1905,13.60,13.66,0.21,Northern
1905,13.63,13.64,0.07,Southern
1906,13.68,13.72,0.20,Northern
1906,13.67,13.64,0.12,Southern
1907,13.43,13.41,0.15,Northern
1907,13.57,13.58,0.03,Southern
1908,13.45,13.44,0.13,Northern
1908,13.48,13.47,0.04,Southern
1909,13.44,13.42,0.20,Northern
1909,13.41,13.40,0.08,Southern
1910,13.47,13.50,0.13,Northern
1910,13.46,13.44,0.09,Southern
1911,13.51,13.52,0.19,Northern
1911,13.43,13.40,0.16,Southern
1912,13.45,13.38,0.25,Northern
1912,13.64,13.61,0.08,Southern
1913,13.47,13.42,0.21,Northern
1913,13.62,13.62,0.08,Southern
1914,13.71,13.66,0.16,Northern
1914,13.78,13.78,0.07,Southern
1915,13.80,13.79,0.09,Northern
1915,13.76,13.73,0.12,Southern
1916,13.54,13.58,0.27,Northern
1916,13.59,13.62,0.13,Southern
1917,13.36,13.34,0.24,Northern
1917,13.54,13.53,0.18,Southern
1918,13.53,13.52,0.18,Northern
1918,13.69,13.64,0.13,Southern
1919,13.56,13.54,0.13,Northern
1919,13.69,13.63,0.14,Southern
1920,13.64,13.66,0.18,Northern
1920,13.64,13.65,0.11,Southern
1921,13.83,13.80,0.13,Northern
1921,13.61,13.62,0.11,Southern
1922,13.65,13.68,0.15,Northern
1922,13.59,13.60,0.09,Southern
1923,13.71,13.69,0.24,Northern
1923,13.59,13.57,0.08,Southern
1924,13.75,13.71,0.14,Northern
1924,13.54,13.55,0.12,Southern
1925,13.79,13.74,0.19,Northern
1925,13.60,13.58,0.12,Southern
1926,13.94,13.86,0.25,Northern
1926,13.69,13.68,0.07,Southern
1927,13.79,13.80,0.21,Northern
1927,13.60,13.61,0.05,Southern
1928,13.82,13.80,0.18,Northern
1928,13.59,13.61,0.07,Southern
1929,13.59,13.61,0.25,Northern
1929,13.51,13.50,0.09,Southern
1930,13.91,13.92,0.17,Northern
1930,13.60,13.60,0.10,Southern
1931,13.95,13.98,0.17,Northern
1931,13.67,13.68,0.07,Southern
1932,13.84,13.78,0.19,Northern
1932,13.63,13.62,0.09,Southern
1933,13.64,13.66,0.13,Northern
1933,13.57,13.58,0.04,Southern
1934,13.89,13.88,0.21,Northern
1934,13.64,13.63,0.08,Southern
1935,13.81,13.80,0.27,Northern
1935,13.59,13.58,0.07,Southern
1936,13.86,13.94,0.19,Northern
1936,13.63,13.62,0.10,Southern
1937,14.02,14.04,0.17,Northern
1937,13.71,13.69,0.06,Southern
1938,14.02,14.09,0.19,Northern
1938,13.70,13.69,0.05,Southern
1939,13.98,13.91,0.26,Northern
1939,13.76,13.75,0.08,Southern
1940,14.07,14.10,0.15,Northern
1940,13.98,13.97,0.08,Southern
1941,14.13,14.08,0.13,Northern
1941,14.06,14.07,0.09,Southern
1942,14.00,14.00,0.12,Northern
1942,13.90,13.90,0.13,Southern
1943,14.05,14.06,0.20,Northern
1943,13.88,13.87,0.09,Southern
1944,14.17,14.11,0.17,Northern
1944,14.05,14.08,0.09,Southern
1945,13.99,14.00,0.15,Northern
1945,14.00,13.98,0.09,Southern
1946,13.93,13.92,0.22,Northern
1946,13.73,13.73,0.10,Southern
1947,13.96,13.90,0.17,Northern
1947,13.76,13.78,0.08,Southern
1948,13.89,13.92,0.19,Northern
1948,13.70,13.71,0.06,Southern
1949,13.87,13.87,0.14,Northern
1949,13.71,13.72,0.05,Southern
1950,13.73,13.74,0.15,Northern
1950,13.70,13.70,0.12,Southern
1951,13.94,14.00,0.27,Northern
1951,13.73,13.76,0.11,Southern
1952,13.95,14.04,0.15,Northern
1952,13.86,13.88,0.10,Southern
1953,14.13,14.12,0.10,Northern
1953,13.82,13.82,0.05,Southern
1954,13.85,13.84,0.15,Northern
1954,13.65,13.64,0.06,Southern
1955,13.79,13.78,0.24,Northern
1955,13.70,13.70,0.07,Southern
1956,13.64,13.62,0.07,Northern
1956,13.74,13.72,0.10,Southern
1957,13.94,14.00,0.14,Northern
1957,13.95,13.92,0.10,Southern
1958,14.07,14.01,0.19,Northern
1958,13.87,13.90,0.11,Southern
1959,14.02,14.00,0.11,Northern
1959,13.84,13.80,0.10,Southern
1960,13.99,14.00,0.23,Northern
1960,13.78,13.75,0.10,Southern
1961,13.99,13.98,0.12,Northern
1961,13.92,13.90,0.10,Southern
1962,14.06,14.05,0.14,Northern
1962,13.82,13.80,0.10,Southern
1963,14.06,14.02,0.20,Northern
1963,13.88,13.80,0.17,Southern
1964,13.71,13.68,0.11,Northern
1964,13.70,13.70,0.14,Southern
1965,13.77,13.76,0.12,Northern
1965,13.82,13.80,0.10,Southern
1966,13.89,13.91,0.12,Northern
1966,13.81,13.82,0.11,Southern
1967,13.93,13.96,0.18,Northern
1967,13.82,13.79,0.07,Southern
1968,13.84,13.84,0.20,Northern
1968,13.81,13.78,0.14,Southern
1969,13.89,13.94,0.22,Northern
1969,14.05,14.06,0.11,Southern
1970,13.87,13.87,0.14,Northern
1970,13.99,13.99,0.13,Southern
1971,13.74,13.76,0.07,Northern
1971,13.87,13.89,0.10,Southern
1972,13.72,13.79,0.19,Northern
1972,14.11,14.10,0.13,Southern
1973,14.00,13.96,0.16,Northern
1973,14.13,14.12,0.15,Southern
1974,13.70,13.71,0.11,Northern
1974,13.94,13.96,0.14,Southern
1975,13.84,13.84,0.13,Northern
1975,13.93,13.93,0.13,Southern
1976,13.69,13.66,0.15,Northern
1976,13.90,13.84,0.19,Southern
1977,14.01,14.02,0.14,Northern
1977,14.13,14.18,0.18,Southern
1978,13.92,13.92,0.12,Northern
1978,14.01,14.04,0.12,Southern
1979,13.98,13.95,0.21,Northern
1979,14.14,14.13,0.12,Southern
1980,14.06,14.04,0.10,Northern
1980,14.28,14.28,0.12,Southern
1981,14.28,14.24,0.24,Northern
1981,14.17,14.16,0.14,Southern
1982,13.95,13.95,0.13,Northern
1982,14.12,14.12,0.15,Southern
1983,14.16,14.12,0.17,Northern
1983,14.28,14.31,0.17,Southern
1984,13.94,13.96,0.19,Northern
1984,14.18,14.18,0.11,Southern
1985,13.88,13.91,0.12,Northern
1985,14.15,14.16,0.08,Southern
1986,14.02,14.00,0.13,Northern
1986,14.14,14.14,0.11,Southern
1987,14.16,14.15,0.18,Northern
1987,14.31,14.30,0.10,Southern
1988,14.27,14.32,0.15,Northern
1988,14.34,14.36,0.15,Southern
1989,14.19,14.18,0.11,Northern
1989,14.19,14.20,0.13,Southern
1990,14.41,14.37,0.22,Northern
1990,14.27,14.27,0.11,Southern
1991,14.31,14.32,0.10,Northern
1991,14.32,14.34,0.12,Southern
1992,14.02,13.97,0.27,Northern
1992,14.22,14.23,0.11,Southern
1993,14.09,14.10,0.20,Northern
1993,14.19,14.18,0.07,Southern
1994,14.26,14.26,0.14,Northern
1994,14.16,14.18,0.12,Southern
1995,14.48,14.46,0.23,Northern
1995,14.21,14.24,0.11,Southern
1996,14.18,14.18,0.15,Northern
1996,14.29,14.30,0.16,Southern
1997,14.43,14.42,0.11,Northern
1997,14.31,14.22,0.19,Southern
1998,14.63,14.63,0.14,Northern
1998,14.42,14.44,0.18,Southern
1999,14.40,14.32,0.20,Northern
1999,14.19,14.22,0.10,Southern
2000,14.40,14.34,0.24,Northern
2000,14.19,14.18,0.09,Southern
2001,14.53,14.52,0.13,Northern
2001,14.33,14.33,0.09,Southern
2002,14.61,14.54,0.23,Northern
2002,14.43,14.43,0.12,Southern
2003,14.63,14.58,0.16,Northern
2003,14.38,14.40,0.06,Southern
2004,14.57,14.54,0.17,Northern
2004,14.30,14.33,0.16,Southern
2005,14.73,14.71,0.10,Northern
2005,14.41,14.42,0.05,Southern
2006,14.68,14.65,0.15,Northern
2006,14.35,14.36,0.12,Southern
2007,14.71,14.64,0.21,Northern
2007,14.36,14.37,0.13,Southern
2008,14.54,14.49,0.22,Northern
2008,14.29,14.28,0.14,Southern
2009,14.59,14.58,0.07,Northern
2009,14.47,14.50,0.13,Southern
2010,14.77,14.75,0.19,Northern
2010,14.43,14.44,0.13,Southern
2011,14.60,14.58,0.10,Northern
2011,14.36,14.31,0.14,Southern
2012,14.66,14.71,0.16,Northern
2012,14.37,14.39,0.13,Southern
2013,14.65,14.64,0.11,Northern
2013,14.44,14.42,0.12,Southern
2014,14.80,14.78,0.14,Northern
2014,14.46,14.41,0.18,Southern
2015,15.03,15.03,0.16,Northern
2015,14.51,14.47,0.13,Southern
2016,15.18,15.00,0.33,Northern
2016,14.61,14.62,0.12,Southern
2017,15.03,14.98,0.21,Northern
2017,14.57,14.60,0.14,Southern
2018,14.89,14.82,0.16,Northern
2018,14.55,14.56,0.11,Southern
2019,15.02,15.01,0.16,Northern
2019,14.63,14.67,0.09,Southern
